Orange Juice,5.99,La Buena Vida - Raleigh
Cafe Espresso,3.99,La Buena Vida - Raleigh
Cafe de Olla,3.99,La Buena Vida - Raleigh
Buñuelos,7.99,La Buena Vida - Raleigh
Strawberry tres leches,9.99,La Buena Vida - Raleigh
Churros,14.99,La Buena Vida - Raleigh
Tres Leches,8.99,La Buena Vida - Raleigh
Platano Frito,7.99,La Buena Vida - Raleigh
Churro Waffle,9.99,La Buena Vida - Raleigh
Flan,8.99,La Buena Vida - Raleigh
celebration cake,35.00,La Buena Vida - Raleigh
Bola de Nieve,7.99,La Buena Vida - Raleigh
Rainbow Ice cream,9.99,La Buena Vida - Raleigh
Side Cheese Dip (4oz),4.00,La Buena Vida - Raleigh
Arroz,3.99,La Buena Vida - Raleigh
side Guacamole,3.50,La Buena Vida - Raleigh
Frijoles,3.99,La Buena Vida - Raleigh
Chips,2.00,La Buena Vida - Raleigh
Side House Salad,7.00,La Buena Vida - Raleigh
Side De Salsa De Chips (4oz),2.49,La Buena Vida - Raleigh
Side De Chicharron,3.00,La Buena Vida - Raleigh
Side Grilled Veggies,5.99,La Buena Vida - Raleigh
side Papas Fritas,3.00,La Buena Vida - Raleigh
Side Steak,8.00,La Buena Vida - Raleigh
Side Camarones (6),8.00,La Buena Vida - Raleigh
side Sour Cream,1.25,La Buena Vida - Raleigh
side Chipotle Mayo,1.25,La Buena Vida - Raleigh
side Aguacate,3.50,La Buena Vida - Raleigh
Tortillas,1.00,La Buena Vida - Raleigh
Side De Carnitas (8 Onzas),6.00,La Buena Vida - Raleigh
side pico de gallo,1.50,La Buena Vida - Raleigh
Side De Jalapeno Fresco,2.00,La Buena Vida - Raleigh
Side Bacon,3.00,La Buena Vida - Raleigh
Side Crema Salad,2.00,La Buena Vida - Raleigh
side Onions,1.00,La Buena Vida - Raleigh
Pan De Ajo,1.00,La Buena Vida - Raleigh
Side De Tostadas,1.00,La Buena Vida - Raleigh
side Queso Rallado,1.50,La Buena Vida - Raleigh
Side De Platano,5.99,La Buena Vida - Raleigh
Chiles Toreados,2.00,La Buena Vida - Raleigh
Side Milanesa,6.00,La Buena Vida - Raleigh
Side Grilled Chicken,6.00,La Buena Vida - Raleigh
Side De Lechuga,0.85,La Buena Vida - Raleigh
Side  De Plantain Chips,3.45,La Buena Vida - Raleigh
Side De Ranch (2 Oz),1.25,La Buena Vida - Raleigh
Side De Tomate Picado,1.00,La Buena Vida - Raleigh
Side Consome,3.99,La Buena Vida - Raleigh
side chimichurri,2.00,La Buena Vida - Raleigh
Quesadilla (pa nino),7.99,La Buena Vida - Raleigh
